"Idades
Exatas
(X)";"Probabilidades de Morte
entre Duas Idades Exatas
Q (X, N) (Por Mil)";"Óbitos
D (X, N)";"l ( X )";"L (X, N)";"T(X)";"Expectativa de Vida
à Idade X
E(X)";"ano"
"58";"9.8925170546678203";"842.4235638453905";"85157.655952474684";"84736.444170551986";"1986722.8271004087";"23.329937923716116";2013
"59";"10.585033748863752";"892.47958037693115";"84315.232388629287";"83868.992598440818";"1901986.3829298567";"22.558039977440156";2013
"60";"11.330590985339358";"945.22909094137754";"83422.752808252349";"82950.138262781664";"1818117.3903314159";"21.794022962900403";2013
"61";"12.155673597910619";"1002.569857471564";"82477.523717310978";"81976.238788575196";"1735167.2520686341";"21.038061933283341";2013
"62";"13.084720861190192";"1066.0770284343491";"81474.953859839414";"80941.915345622241";"1653191.013280059";"20.290787965636994";2013
"63";"14.139121587322393";"1136.9108862192668";"80408.876831405069";"79840.421388295435";"1572249.0979344368";"19.553178204826857";2013
"64";"15.319373226949835";"1214.3968327483585";"79271.965945185802";"78664.767528811615";"1492408.6765461413";"18.82643704809967";2013
"65";"16.596627579119517";"1295.4924042905068";"78057.569112437443";"77409.82291029219";"1413743.9090173296";"18.111554396229181";2013
"66";"17.98159432479309";"1380.3045228945466";"76762.076708146938";"76071.924446699675";"1336334.0861070373";"17.408779744037449";2013
"67";"19.526462440544755";"1471.9393432770323";"75381.772185252397";"74645.802513613889";"1260262.1616603376";"16.718393918402647";2013
"68";"21.256949932256262";"1571.0976162233001";"73909.832841975367";"73124.284033863718";"1185616.3591467238";"16.041388724037006";2013
"69";"23.172506735697887";"1676.2698292706059";"72338.735225752069";"71500.600311116767";"1112492.07511286";"15.378926264622066";2013
"70";"25.23408023201603";"1783.1023212068696";"70662.465396481464";"69770.914235878037";"1040991.4748017433";"14.731887275101753";2013
"71";"27.454096115971634";"1891.0206542754961";"68879.363075274596";"67933.852748136851";"971220.56056586525";"14.100312738148723";2013
"72";"29.901542548067766";"2003.0547711260378";"66988.342420999106";"65986.815035436084";"903286.7078177284";"13.484237334025622";2013
"73";"32.612716378435827";"2119.3467548963786";"64985.287649873069";"63925.614272424878";"837299.89278229233";"12.884453128737174";2013
"74";"35.589880402661223";"2237.3913178529892";"62865.940894976688";"61747.245236050192";"773374.27850986749";"12.301959813213646";2013
"75";"38.793521415053675";"2351.9949363837918";"60628.549577123697";"59452.552108931799";"711627.03327381727";"11.737490641576022";2013
"76";"42.233340594630683";"2461.2135808239732";"58276.554640739902";"57045.94785032791";"652174.48116488545";"11.191026737688507";2013
"77";"45.985124862140502";"2566.6754278631911";"55815.341059915925";"54532.003345984325";"595128.53331455751";"10.662454479597404";2013
"78";"50.093294634762245";"2667.4010964143558";"53248.665632052733";"51914.965083845556";"540596.52996857313";"10.152301913142479";2013
"79";"54.576939522576247";"2760.5706155369662";"50581.26453563838";"49200.979227869902";"488681.56488472759";"9.6613156940830134";2013
"80 ou mais";"1000";"47820.693920101417";"47820.693920101417";"439480.5856568577";"439480.5856568577";"9.1901758345694375";2013
"0";"14.399491356085928";"1439.9491356085928";"100000";"98694.251926566038";"7520028.930681848";"75.200289306818476";2014
"1";"0.93011064916417563";"91.671752891133252";"98560.050864391407";"98514.21498794583";"7421334.6787552815";"75.29759383917407";2014
