 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"211027 Santo Amaro do Maranhão";-;6;54;51;32;18;14;-;-;-;-;-;-;175
"211030 Santo Antônio dos Lopes";-;2;55;86;50;42;24;1;-;-;-;-;-;260
"211040 São Benedito do Rio Preto";-;5;86;110;71;48;17;8;-;-;-;-;-;345
"211050 São Bento";-;5;130;153;107;58;14;6;-;-;-;-;-;473
"211060 São Bernardo";-;4;117;128;97;51;26;5;-;-;-;-;-;428
"211065 São Domingos do Azeitão";-;2;35;53;20;11;5;3;-;-;-;-;-;129
"211070 São Domingos do Maranhão";-;13;161;162;139;71;31;6;-;-;-;-;-;583
"211080 São Félix de Balsas";-;-;8;10;7;8;5;1;-;-;-;-;-;39
"211085 São Francisco do Brejão";-;4;42;46;25;23;11;1;-;-;-;-;-;152
"211090 São Francisco do Maranhão";-;-;32;46;39;24;4;2;-;-;-;-;-;147
"211100 São João Batista";1;3;70;92;57;32;10;1;1;-;-;-;-;267
"211102 São João do Carú";-;12;62;67;50;24;9;4;-;-;-;-;-;228
"211105 São João do Paraíso";-;5;40;46;30;25;10;5;-;-;-;-;-;161
"211107 São João do Soter";-;4;90;79;55;41;18;5;-;-;2;-;-;294
"211110 São João dos Patos";-;8;92;106;97;55;26;6;-;-;-;-;-;390
"211120 São José de Ribamar";-;33;564;950;814;571;242;48;5;2;-;-;-;3229
"211125 São José dos Basílios";-;1;25;22;21;15;7;2;-;-;-;-;-;93
"211130 São Luís";-;130;2492;4176;4137;3154;1492;337;12;-;-;-;-;15930
"211140 São Luís Gonzaga do Maranhão";-;2;82;91;64;42;17;3;-;-;-;-;-;301
"211150 São Mateus do Maranhão";-;13;190;214;149;70;29;8;-;-;-;-;-;673
"211153 São Pedro da Água Branca";-;4;47;47;41;20;9;-;-;-;-;-;-;168
"211157 São Pedro dos Crentes";-;1;24;26;24;10;3;-;-;-;-;-;-;88
"211160 São Raimundo das Mangabeiras";-;3;97;117;61;39;17;3;-;-;-;-;-;337
"211163 São Raimundo do Doca Bezerra";-;1;25;21;16;7;5;1;-;-;-;-;-;76
"211167 São Roberto";-;-;16;17;15;8;1;-;-;-;-;-;-;57
"211170 São Vicente Ferrer";-;3;64;98;47;29;10;1;-;-;-;-;-;252
"211172 Satubinha";-;2;32;31;34;10;5;1;-;-;-;-;-;115
"211174 Senador Alexandre Costa";-;1;45;54;45;24;7;1;-;-;-;-;-;177
"211176 Senador La Rocque";-;3;76;82;74;32;16;4;-;-;-;-;-;287
"211178 Serrano do Maranhão";-;2;40;44;23;19;7;4;1;-;-;-;-;140
"211180 Sítio Novo";-;4;76;87;46;33;22;3;1;1;-;-;-;273
"211190 Sucupira do Norte";-;-;36;47;31;20;12;7;1;-;-;-;-;154
"211195 Sucupira do Riachão";-;1;15;25;17;7;6;-;-;-;-;-;-;71
"211200 Tasso Fragoso";-;2;28;39;32;23;10;2;-;-;-;-;-;136
"211210 Timbiras";-;8;129;151;115;64;23;2;2;-;-;-;-;494
"211220 Timon";-;41;651;706;662;487;202;50;4;2;-;-;-;2805
"211223 Trizidela do Vale";-;4;82;91;72;51;11;2;-;-;-;-;-;313
"211227 Tufilândia";-;6;32;29;23;13;5;1;-;-;-;-;-;109
"211230 Tuntum";-;9;127;164;109;57;23;4;-;-;-;-;-;493
"211240 Turiaçu";-;12;193;212;175;80;27;8;1;-;-;-;-;708
"211245 Turilândia";-;12;100;112;65;38;14;2;1;-;-;-;-;344
"211250 Tutóia";-;11;236;305;190;108;47;8;2;-;-;-;-;907
"211260 Urbano Santos";-;16;165;196;143;70;22;7;2;-;-;-;-;621
"211270 Vargem Grande";-;11;250;245;201;115;33;5;-;-;-;-;-;860
"211280 Viana";-;16;266;315;240;133;44;4;-;-;-;-;-;1018
"211285 Vila Nova dos Martírios";-;5;36;56;37;17;8;1;1;-;-;-;-;161
"211290 Vitória do Mearim";-;9;129;176;117;58;25;8;-;-;-;-;-;522
"211300 Vitorino Freire";-;7;132;145;90;54;27;5;1;-;-;-;-;461
"211400 Zé Doca";-;14;219;250;176;93;45;6;-;-;-;-;-;803
"210000 Município ignorado - MA";-;-;-;2;-;2;-;-;-;-;-;-;-;4
"220005 Acauã";-;1;19;22;21;11;11;-;-;-;-;-;-;85
"220010 Agricolândia";-;2;11;24;17;12;7;-;-;-;-;-;-;73
"220020 Água Branca";-;3;73;86;62;36;17;-;1;-;-;-;-;278
"220025 Alagoinha do Piauí";-;-;18;19;23;17;7;1;-;-;-;-;-;85
"220027 Alegrete do Piauí";-;-;12;16;16;8;2;-;-;-;-;-;-;54
"220030 Alto Longá";-;1;26;35;26;27;6;5;-;-;-;-;-;126
"220040 Altos";-;15;112;157;156;98;51;15;-;-;-;-;-;604
"220045 Alvorada do Gurguéia";-;-;14;31;15;12;7;1;-;-;-;-;-;80
"220050 Amarante";-;2;78;73;67;60;18;6;-;-;-;-;-;304
"220060 Angical do Piauí";-;-;22;30;28;26;6;3;-;-;-;-;-;115
"220070 Anísio de Abreu";-;2;39;46;34;12;8;1;-;-;-;-;-;142
"220080 Antônio Almeida";-;-;11;13;7;8;6;-;-;-;-;-;-;45
"220090 Aroazes";-;2;18;21;24;11;7;3;-;-;-;-;-;86
"220095 Aroeiras do Itaim";-;-;3;4;4;6;1;1;-;-;-;-;-;19
"220100 Arraial";-;-;8;17;13;3;4;1;-;-;-;-;-;46
"220105 Assunção do Piauí";-;3;37;19;29;13;12;3;-;-;-;-;-;116
"220110 Avelino Lopes";-;1;46;52;41;18;9;3;-;-;-;-;-;170
"220115 Baixa Grande do Ribeiro";-;1;60;62;55;23;4;3;-;-;-;-;-;208
"220117 Barra D'Alcântara";-;-;8;14;13;9;7;7;-;-;-;-;-;58
"220120 Barras";-;11;153;212;176;123;45;8;1;1;-;1;-;731
"220130 Barreiras do Piauí";-;1;10;11;4;6;2;1;-;-;-;-;-;35
"220140 Barro Duro";-;2;20;33;21;14;2;2;-;-;-;-;-;94
"220150 Batalha";-;3;91;99;90;42;34;5;1;-;-;-;-;365
"220155 Bela Vista do Piauí";-;1;9;16;5;16;2;2;-;-;-;-;-;51
"220157 Belém do Piauí";-;-;7;12;6;8;2;1;-;-;-;-;-;36
"220160 Beneditinos";-;4;24;32;28;32;7;-;-;-;-;-;-;127
"220170 Bertolínia";-;1;17;21;17;15;3;1;-;-;-;-;-;75
"220173 Betânia do Piauí";-;3;28;32;24;20;9;2;-;-;-;-;-;118
"220177 Boa Hora";-;-;16;19;20;14;12;1;-;-;-;-;-;82
"220180 Bocaina";-;1;9;10;7;15;3;1;-;-;-;-;-;46
"220190 Bom Jesus";-;6;113;134;114;89;24;8;-;-;-;-;-;488
"220191 Bom Princípio do Piauí";-;1;13;25;22;7;4;3;-;-;-;-;-;75
"220192 Bonfim do Piauí";-;3;18;28;32;15;6;1;-;-;-;-;-;103
"220194 Boqueirão do Piauí";-;1;15;23;18;18;8;1;-;1;-;-;-;85
"220196 Brasileira";-;1;15;24;28;21;9;2;-;-;-;-;-;100
"220198 Brejo do Piauí";-;-;14;18;9;7;2;1;-;-;-;-;-;51
"220200 Buriti dos Lopes";-;4;85;77;75;33;12;3;-;-;-;-;-;289
"220202 Buriti dos Montes";-;1;20;17;17;9;6;1;-;-;-;-;-;71
"220205 Cabeceiras do Piauí";-;-;20;35;30;23;10;1;-;-;-;-;-;119
"220207 Cajazeiras do Piauí";-;1;10;10;10;6;5;1;-;-;-;-;-;43
"220208 Cajueiro da Praia";-;1;30;30;22;22;10;3;-;-;-;-;-;118
"220209 Caldeirão Grande do Piauí";-;2;5;19;23;11;4;-;-;-;-;-;-;64
"220210 Campinas do Piauí";-;-;12;16;14;3;4;-;-;-;-;-;-;49
"220211 Campo Alegre do Fidalgo";-;-;13;14;18;9;4;-;-;-;-;-;-;58
"220213 Campo Grande do Piauí";-;3;23;31;24;6;7;-;-;-;-;-;-;94
"220217 Campo Largo do Piauí";-;3;24;32;22;13;9;3;1;-;-;-;-;107
"220220 Campo Maior";-;6;104;149;155;97;39;10;-;-;-;-;-;560
"220225 Canavieira";-;1;6;12;2;5;5;-;-;-;-;-;-;31
"220230 Canto do Buriti";-;3;72;81;59;42;21;4;-;-;-;-;-;282
"220240 Capitão de Campos";-;1;27;46;25;30;19;-;1;-;-;-;-;149
"220245 Capitão Gervásio Oliveira";-;2;19;19;12;6;3;1;-;-;-;-;-;62
"220250 Caracol";-;1;43;56;40;25;13;1;-;1;-;-;-;180
"220253 Caraúbas do Piauí";-;1;23;22;17;11;4;2;-;-;-;-;-;80
"220255 Caridade do Piauí";-;1;19;16;13;6;5;-;-;-;-;-;-;60
"220260 Castelo do Piauí";-;4;72;77;58;31;21;5;-;-;-;-;-;268
"220265 Caxingó";-;1;25;32;21;16;5;1;-;-;-;-;-;101
"220270 Cocal";-;3;85;108;101;56;34;14;1;-;-;-;-;402
"220271 Cocal de Telha";-;1;18;23;16;13;4;-;-;-;-;-;-;75
"220272 Cocal dos Alves";-;1;8;24;15;12;2;-;-;-;-;-;-;62
"220273 Coivaras";-;1;12;18;6;11;2;1;-;-;-;-;-;51
"220275 Colônia do Gurguéia";-;2;30;23;23;8;4;1;1;-;-;-;-;92
"220277 Colônia do Piauí";-;1;20;26;21;14;3;1;-;-;-;-;-;86
"220280 Conceição do Canindé";-;2;15;22;15;12;3;-;-;-;-;-;-;69
"220285 Coronel José Dias";-;3;15;20;11;12;-;3;1;-;-;-;-;65
"220290 Corrente";-;10;108;110;91;52;31;7;1;-;-;-;-;410
"220300 Cristalândia do Piauí";-;3;32;20;22;14;10;-;-;-;-;-;-;101
"220310 Cristino Castro";-;2;38;57;22;31;14;3;-;-;-;-;-;167
"220320 Curimatá";-;7;65;50;41;30;14;1;-;-;-;-;-;208
"220323 Currais";-;2;12;29;15;14;7;1;-;-;-;-;-;80
