"cod_mun";"n_bpc_cadunico";"comdireito_a_bpc";"desv_pad_n_bpc_cadunico";"desv_pad_bpc";"Município";"idosos";"Total";"prop_idosos_cadunico";"direito_bpc_prop_idosos";"ano"
"320370";0;10,5365808796165;0;7,45048229991659;"Muniz Freire";1711;18997;0,00615814195185067;0,00615814195185067;2014
"320380";0;15,8048706335585;0;9,12493286589976;"Muqui";1600;15532;0,00987804414597403;0,00987804414597403;2014
"320390";0;94,8294093679202;0;22,3514658669755;"Nova Venécia";3923;49932;0,0241726763619475;0,0241726763619475;2014
"320400";0;21,0731614162999;0;10,5365574136498;"Pancas";1938;23273;0,0108736643014963;0,0108736643014963;2014
"320405";0;42,1463231755328;0;16,6597307593176;"Pedro Canário";1573;25921;0,0267935938814576;0,0267935938814576;2014
"320410";0;84,2928076174807;0;22,3514746066553;"Pinheiros";2106;26310;0,0400250748421086;0,0400250748421086;2014
"320420";NA;NA;NA;NA;"Piúma";1535;20397;NA;NA;2014
"320425";0;10,5365805366833;0;7,45048205742714;"Ponto Belo";756;7666;0,0139372758421737;0,0139372758421737;2014
"320430";0;47,4146129294748;0;15,8047777988359;"Presidente Kennedy";895;11221;0,0529772211502512;0,0529772211502512;2014
"320435";0;15,8048709764916;0;9,12493306389114;"Rio Bananal";1462;19034;0,0108104452643581;0,0108104452643581;2014
"320440";NA;NA;NA;NA;"Rio Novo do Sul";1186;12015;NA;NA;2014
"320450";0;36,8780317069251;0;13,9385241887335;"Santa Leopoldina";1239;12880;0,0297643516601494;0,0297643516601494;2014
"320455";0;21,073161759233;0;12,9046075443991;"Santa Maria de Jetibá";2516;38288;0,00837566047664269;0,00837566047664269;2014
"320460";0;21,0731614162999;0;10,5365574136498;"Santa Teresa";2471;23581;0,00852819158895178;0,00852819158895178;2014
"320465";NA;NA;NA;NA;"São Domingos do Norte";779;8652;NA;NA;2014
"320470";0;15,8048706335585;0;9,12493286589976;"São Gabriel da Palha";2654;35781;0,00595511327564373;0,00595511327564373;2014
"320480";0;10,5365808796165;0;7,45048229991659;"São José do Calçado";1373;11007;0,00767413028377021;0,00767413028377021;2014
"320490";0;352,983096084243;0;45,6254359758834;"São Mateus";7183;122668;0,0491414584552754;0,0491414584552754;2014
"320495";0;5,26829043980825;0;5,26829043990341;"São Roque do Canaã";1211;12281;0,00435036369926362;0,00435036369926362;2014
"320500";0;1296,01813854231;0;86,8860850286326;"Serra";22395;476429;0,0578708702184556;0,0578708702184556;2014
"320501";0;63,2194842488995;0;21,0730372650557;"Sooretama";1292;27407;0,0489314893567334;0,0489314893567334;2014
"320503";0;10,5365808796165;0;7,45048229991659;"Vargem Alta";1575;20942;0,00668989262197873;0,00668989262197873;2014
"320506";0;5,2682900968751;0;5,26829009697076;"Venda Nova do Imigrante";1700;23312;0,00309899417463241;0,00309899417463241;2014
"320510";0;126,439211716495;0;27,8771679838205;"Viana";3814;73318;0,0331513402507854;0,0331513402507854;2014
"320515";0;5,26829043980825;0;5,26829043990341;"Vila Pavão";770;9322;0,00684193563611461;0,00684193563611461;2014
"320517";0;26,3414521990412;0;13,9385599248363;"Vila Valério";1008;14635;0,0261323930546044;0,0261323930546044;2014
"320520";0;1322,3539613688;0;89,8691373743409;"Vila Velha";34814;465689;0,0379833963741255;0,0379833963741255;2014
